district_id,district,region,urban_rural_class,lat,lon,total_pop,poverty_incidence,poverty_intensity,illiteracy_rate,literacy_rate,uninsured_rate,non_employment_share,dependency_ratio,urban,geojson_district,gap_merged_for_map
117,Kwahu West Municipal,EASTERN,Municipal,6.49118254999999,-0.728456087972531,145429,15.1,41.9,16.51,83.49,16.52,45.3,70.49,1,KWAHU WEST,0
118,Lower Manya Krobo Municipal,EASTERN,Municipal,6.2127831,-0.0404975690174626,121849,19.8,43.4,19.84,80.16,20.49,57.16,56.29,1,LOWER MANYA,0
119,New Juaben North Municipal,EASTERN,Municipal,6.1364245,-0.312846157003848,88716,10.6,41.7,9.87,90.13,11.26,54.38,50.26,1,NEW JUABEN NORTH MUNICIPAL,0
120,New Juaben South Municipal,EASTERN,Municipal,6.0721368,-0.260652306105858,129741,8.5,41.1,9.11,90.89,12.52,48.46,49.28,1,NEW JUABEN SOUTH MUNICIPAL,0
121,Nsawam Adoagyiri Municipal,EASTERN,Municipal,5.81791215,-0.36426765,155597,13.0,43.4,15.54,84.46,29.26,46.65,59.82,1,NSAWAM ADOAGYIRI,0
122,Okere,EASTERN,District,6.04034605,-0.127770489495342,51675,24.0,42.4,21.53,78.47,35.07,47.78,68.37,0,OKERE,0
123,Suhum Municipal,EASTERN,Municipal,6.035885,-0.4552751,126403,17.6,42.0,18.91,81.09,28.55,41.42,65.01,1,SUHUM MUNICIPAL,0
124,Upper Manya Krobo,EASTERN,District,6.40201115,-0.134429386146108,70612,32.7,40.5,35.31,64.69,38.15,36.01,71.76,0,UPPER MANYA,0
125,Upper West Akim,EASTERN,District,5.80678025,-0.540057196199224,95855,29.7,43.7,28.33,71.67,49.22,44.61,74.06,0,UPPER WEST AKIM,0
126,West Akim Municipal,EASTERN,Municipal,5.9070609,-0.68318054757923,117681,23.7,43.0,23.19,76.81,28.11,47.65,67.25,1,WEST AKIM,0
127,Yilo Krobo Municipal,EASTERN,Municipal,6.1564095,-0.167401779755807,122398,21.5,42.1,21.14,78.86,29.42,44.66,64.29,1,YILO KROBO,0
128,Ablekuma Central Municipal,GREATER ACCRA,Municipal,5.5541808,-0.24078224491606,169145,9.4,45.2,11.92,88.08,36.53,40.78,48.09,1,ABLEKUMA CENTRAL MUNICIPAL,0
129,Ablekuma North Municipal,GREATER ACCRA,Municipal,5.58719365,-0.263259064824942,159208,8.3,42.9,7.15,92.85,36.66,39.56,46.84,1,ABLEKUMA NORTH MUNICIPAL,0
130,Ablekuma West Municipal,GREATER ACCRA,Municipal,5.5431939,-0.26615017413473,153490,8.9,43.0,8.15,91.85,39.41,42.78,51.22,1,ABLEKUMA WEST MUNICIPAL,0
131,"Accra Metropolitan Area (AMA)-Ablekuma South, Ashiedu Keteke & Okaikoi South",GREATER ACCRA,Metropolitan,5.55381875,-0.205849787615075,276997,11.1,43.9,16.66,83.34,38.04,41.15,37.93,1,ACCRA METROPOLIS,0
132,Ada East,GREATER ACCRA,District,5.8761016,0.549568161630084,76411,28.2,44.2,29.29,70.71,42.91,51.26,72.14,0,ADA EAST,0
133,Ada West,GREATER ACCRA,District,5.9040093,0.420370257026968,76087,40.1,44.7,33.13,66.87,59.26,49.9,82.13,0,ADA WEST,0
134,Adentan Municipal,GREATER ACCRA,Municipal,5.7042433,-0.1690967,265971,8.3,41.8,7.13,92.87,37.46,43.07,46.46,1,ADENTA MUNICIPAL,0
135,Ashaiman Municipal,GREATER ACCRA,Municipal,5.6993574,-0.0348533202566188,208060,7.5,43.3,11.32,88.68,35.07,37.86,49.75,1,ASHAIMAN MUNICIPAL,0
136,Ayawaso Central Municipal,GREATER ACCRA,Municipal,5.59137939999999,-0.212668442666915,94831,12.2,42.8,9.12,90.88,43.81,44.05,44.36,1,AYAWASO CENTRAL MUNICIPAL,0
137,Ayawaso East Municipal,GREATER ACCRA,Municipal,5.5828425,-0.194266228463183,53004,15.4,44.0,19.03,80.97,38.87,51.72,49.49,1,AYAWASO EAST MUNICIPAL,0
138,Ayawaso North Municipal,GREATER ACCRA,Municipal,5.5908829,-0.199044848506062,63386,13.9,43.8,14.26,85.74,33.99,50.2,47.21,1,AYAWASO NORTH MUNICIPAL,0
139,Ayawaso West Municipal,GREATER ACCRA,Municipal,5.62669775,-0.179111178909241,75303,9.3,41.6,5.41,94.59,35.1,54.61,29.64,1,AYAWASO WEST,0
140,Ga Central Municipal,GREATER ACCRA,Municipal,5.3203951,-2.0334832,332232,8.3,42.6,7.0,93.0,43.68,41.33,50.79,1,GA CENTRAL MUNICIPAL,0
141,Ga East Municipal,GREATER ACCRA,Municipal,5.669162,-0.333376,283379,10.1,41.8,6.67,93.33,37.32,45.54,46.33,1,GA EAST,0
142,Ga North Municipal,GREATER ACCRA,Municipal,5.669162,-0.333376,235292,10.5,42.3,8.04,91.96,36.7,46.83,50.29,1,GA NORTH MUNICIPAL,0
143,Ga South Municipal,GREATER ACCRA,Municipal,5.669162,-0.333376,350121,15.8,44.1,14.28,85.72,51.14,45.22,60.03,1,GA SOUTH MUNICIPAL,0
144,Ga West Municipal,GREATER ACCRA,Municipal,5.669162,-0.333376,314299,10.5,43.3,11.33,88.67,39.3,45.61,60.15,1,GA WEST MUNICIPAL,0
145,Korle Klottey Municipal,GREATER ACCRA,Municipal,5.55901944999999,-0.19823054970895,68633,10.6,43.4,9.2,90.8,34.32,44.23,38.14,1,KORLE KLOTTEY MUNICIPAL,0
146,Kpone Katamanso Municipal,GREATER ACCRA,Municipal,5.77159775,-0.0733651054089466,412828,10.5,43.1,9.26,90.74,37.86,44.34,56.17,1,KPONE KATAMANSO,0
147,Krowor Municipal,GREATER ACCRA,Municipal,5.60941925,-0.0769277820845922,143012,12.4,42.4,7.14,92.86,43.14,47.78,43.47,1,KROWOR MUNICIPAL,0
148,La Dade-Kotopon Municipal,GREATER ACCRA,Municipal,5.58947605,-0.156988356399583,140264,8.9,43.1,5.47,94.53,37.07,42.18,45.64,1,LA DADE-KOTOPON,0
149,La Nkwantanang Madina Municipal,GREATER ACCRA,Municipal,5.74468145,-0.172508699400876,220757,11.3,42.7,7.71,92.29,35.27,47.04,46.28,1,LA-NKWANTANANG-MADINA,0
150,Ledzokuku Municipal,GREATER ACCRA,Municipal,5.6050983,-0.114493361214251,217304,11.3,43.3,8.55,91.45,37.76,46.33,46.06,1,LEDZOKUKU MUNICIPAL,0
151,Ningo-Prampram,GREATER ACCRA,Municipal,5.81176965,0.146110955005239,204673,19.4,44.0,17.4,82.6,45.17,46.48,60.55,1,NINGO/PRAMPRAM,0
152,Okaikoi North Municipal,GREATER ACCRA,Municipal,5.6104365,-0.2395459,160446,11.1,42.4,7.96,92.04,33.88,46.24,43.98,1,OKAIKWEI NORTH MUNICIPAL,0
153,Shai-Osudoku,GREATER ACCRA,District,5.95875335,0.161872328401567,105610,23.5,44.2,21.55,78.45,28.74,51.3,63.48,0,SHAI OSUDOKU,0
154,Tema Metropolitan Area (TMA)-Tema Central & Tema East,GREATER ACCRA,Metropolitan,5.6698,-0.01657,174494,11.6,43.8,11.35,88.65,45.19,44.46,44.81,1,TEMA METROPOLITAN,0
